排名,标题,网址,播放数,硬币数,作者
1,【老番茄】史上最骚公鹿,https://www.bilibili.com/video/BV1eT4y137cc,355.3万,5.7万,老番茄
2,谁是内鬼挑战！,https://www.bilibili.com/video/BV1me411p7tb,110.4万,3.4万,中国BOY超级大猩猩
3,一粒小麦竟能拉出缕缕金丝！耗时7天做出小时候最爱的麦芽糖~,https://www.bilibili.com/video/BV1PC4y1s73L,125.1万,1.3万,二喵的饭
4,如何在B站自学绘画！！！20200506直播录屏,https://www.bilibili.com/video/BV1i541147XD,24.7万,1165,彦弛不是彦驰
5,90后的破产老赖，聊一聊5000万买来的创业教训！,https://www.bilibili.com/video/BV1oQ4y1N7kM,117.5万,9610,申子豪深凿
6,花2天炖8块肉，进来感受下什么叫放纵！,https://www.bilibili.com/video/BV1zQ4y1N7Bm,176.9万,1.2万,绵羊料理
7,谋 权 篡 位 3,https://www.bilibili.com/video/BV1Ff4y1U7ah,228.9万,2.9万,小潮院长
8,LOL最强王八剑法 一个没人敢靠近你的套路[有点骚东西],https://www.bilibili.com/video/BV1ut4y117KU,94.8万,8727,上海滩许Van强
9,【何同学】我用一万行备忘录做了个动画...,https://www.bilibili.com/video/BV1Xi4y1x7eM,133.2万,7543,老师好我叫何同学
10,满级大佬屠杀新手村,https://www.bilibili.com/video/BV1LJ411W7Bo,196.9万,4687,Ueroey
11,主席，我们想您了,https://www.bilibili.com/video/BV14z411q7yv,110.1万,0,鸿桃仔
12,动物世界2——世界名画,https://www.bilibili.com/video/BV1Qi4y1x7Je,116.2万,2150,风云熊
13,我用人工智能修复了100年前的北京影像!!【1920年】【60FPS彩色】【大谷纽约实验室】,https://www.bilibili.com/video/BV1dQ4y1N73A,108.7万,1.1万,大谷的游戏创作小屋
14,【盘点】推理已死？那些硬核烧脑的推理神作TOP10,https://www.bilibili.com/video/BV1xC4y1W7qd,51.6万,1769,看不见的罗杰
15,bilibili献给新一代的演讲《后浪》,https://www.bilibili.com/video/BV1FV411d7u7,147.5万,1.5万,哔哩哔哩弹幕网
16,【醒醒】中华儿女该起床了,https://www.bilibili.com/video/BV1m54y1Q7eQ,40.0万,6063,冈部伦太郎·
17,如果罗志祥的金曲是RAP,https://www.bilibili.com/video/BV1tz411q7b9,86.9万,8476,老坛胡说
18,靠谱盘点81：Faker用特殊方式为自己庆生，粉丝：看着就心酸！一个人太孤独了！,https://www.bilibili.com/video/BV1mQ4y1N7p7,182.2万,2.2万,靠谱电竞
19,吸 鲨 群 岛,https://www.bilibili.com/video/BV1oi4y1x7e7,104.9万,6.1万,花少北丶
20,死了368次，我还是没有跳下这座桥,https://www.bilibili.com/video/BV12K4y1b7ho,142.4万,2.4万,某幻君
21,脂肪胸怎么练？胸部脂肪太多，太难看，太女性化，3步帮你消除。跟练版。,https://www.bilibili.com/video/BV1DA41147KU,40.8万,916,猫叔慢跑
22,川普教你读China,https://www.bilibili.com/video/BV1SV411d7tS,147.6万,1.1万,慕风Mu
23,骁话一下：大英帝国，对冲国运，猛男荷官鲍里斯在线发牌,https://www.bilibili.com/video/BV1Mk4y1k7QB,138.6万,3.0万,观察者网
24,【高燃/混剪】今朝唯我，中国少年郎,https://www.bilibili.com/video/BV13a4y1i7o9,46.3万,5286,布依绣娘
25,史上最难！BUG最多的“走路”游戏！建议改名：升天模拟器。,https://www.bilibili.com/video/BV1QK41157Hb,100.0万,4.7万,东尼ookii
26,童年阴影！盘点柯南十大吓人案件！,https://www.bilibili.com/video/BV1h541147QN,83.2万,1.6万,LexBurner
27,男子用2坛女儿红炖东坡肉：姑娘们，我自雷了！【深夜饿人】,https://www.bilibili.com/video/BV1sz411z7Qb,100.1万,1.9万,盗月社食遇记
28,看完后，你就知道震撼观众30年的动画有多神了！,https://www.bilibili.com/video/BV1Ea4y1i7Xo,95.7万,2.5万,鲁过一世
29,父母为什么永远看不到自己在学习？,https://www.bilibili.com/video/BV1G54y1X74Z,79.0万,3368,V橘君
30,"【C菌】玩了这个阴间餐厅游戏, 我再也不敢吃快餐了…!",https://www.bilibili.com/video/BV1b5411475c,67.2万,1.2万,渗透之C君
31,【前方高能】妈，你听我解释啊！,https://www.bilibili.com/video/BV1yk4y1k7T3,130.1万,4174,文西与阿漆
32,隔着屏幕都能感受到这位老婆的愤怒,https://www.bilibili.com/video/BV1wK411L7RP,184.7万,5678,笑二君
33,【王者荣耀】诸神之战,https://www.bilibili.com/video/BV1Dg4y1q7yu,78.2万,4988,竹醉十六丶
34,我们猛男都这么约会,https://www.bilibili.com/video/BV1LK411W735,186.9万,4.2万,凉风Kaze
35,【 来 了 】威 风 钉 钉,https://www.bilibili.com/video/BV1xA411t7FE,63.1万,1.3万,钉钉DingTalk
36,“请问，你还有多少青春可以挥霍”,https://www.bilibili.com/video/BV1fZ4y1W7me,42.3万,1332,Aginis
37,【卓叔】健身增肌需要戒传统手艺吗？会降低睾酮吗？【增重科普02】,https://www.bilibili.com/video/BV1Fk4y1k7Bc,55.3万,6430,卓叔增重
38,直男第一次体验10级分娩会发生什么？！,https://www.bilibili.com/video/BV1Qf4y1m7rS,69.1万,1.8万,★⑥檤轮囬★
39,UP主自改16384倍分辨率材质包！|风扇冒烟系列！你还能分得清虚拟与现实吗？,https://www.bilibili.com/video/BV1Mt4y117ow,59.4万,3272,游汐_YX
40,up主因害怕脱发 选择直接光头！绝无PS！,https://www.bilibili.com/video/BV1Ei4y1b7LQ,101.9万,2.9万,啊吗粽
41,【睡前消息112】阅文风波的背后，腾讯真的大到只手遮天了吗？,https://www.bilibili.com/video/BV1p5411472u,131.9万,2.6万,观视频工作室
42,把西瓜切开里面全是西瓜做的果冻！看上去就觉得还挺不错的！,https://www.bilibili.com/video/BV1TZ4y1s78q,188.2万,2.1万,敬汉卿
43,【Chimera君】下海的男人（像素游戏风短剧）,https://www.bilibili.com/video/BV1Qe411p7H2,54.9万,4286,Chimera君
44,【罗翔】28年前南医大女生遇害案与追诉时效,https://www.bilibili.com/video/BV1RV411d78w,109.3万,1.0万,罗翔说刑法
45,【散人】孙美琪疑案：郎冥其 烽火台离奇悬尸,https://www.bilibili.com/video/BV11Q4y1N7A6,28.6万,1.9万,逍遥散人
46,队友：演习呢！能不能轻点儿！,https://www.bilibili.com/video/BV1Mk4y1k7wp,167.8万,2331,南云鸟羽
47,【硬核科普】猫咪奔跑的秘密——时域采样,https://www.bilibili.com/video/BV1d54y1Q7r6,61.1万,2532,影视飓风
48,刘敏涛表情管理爆火！以前刘敏涛唱歌的样子VS现在刘敏涛唱歌的样子,https://www.bilibili.com/video/BV1nZ4y1s7tW,220.3万,1.0万,粗犷毛线君
49,老腔皮影戏【东方风神录】,https://www.bilibili.com/video/BV1ri4y1x7pf,23.7万,1.5万,灵无所归_梦无所往
50,2500元十斤帝王蟹！比中国boy脸还大！一口200块的感觉！,https://www.bilibili.com/video/BV1ck4y1k7aw,93.9万,8041,视角姬
51,【半佛】如何从130斤胖到200斤，还断了一条胳膊。,https://www.bilibili.com/video/BV1sf4y1m7og,76.9万,1.3万,硬核的半佛仙人
52,【片片】官方套娃，最为致命，你能猜到第几层？深度解析《瑞克和莫蒂》S4E6,https://www.bilibili.com/video/BV1W5411475m,68.5万,4028,小片片说大片
53,克苏鲁神话入门，恶臭鬼镇的畸形怪胎《敦威治恐怖事件》,https://www.bilibili.com/video/BV1XK4y1b787,70.7万,7485,努力的Lorre
54,还   有   谁 ！！！,https://www.bilibili.com/video/BV1PZ4y1x7St,47.1万,809,微小_时光
55,小米新广告涉嫌辱日，被日本网友气的骂上日推热搜,https://www.bilibili.com/video/BV1Ep4y1973L,126.2万,2.1万,知日酱
56,【Minecraft】因为热爱，所以坚持,https://www.bilibili.com/video/BV1Ce411p7MF,21.4万,5773,Minecraft-ICE
57,这不是演习！20多名暴恐分子残害10余名矿工4名公安，特警56天搜捕歼敌,https://www.bilibili.com/video/BV1ET4y137QN,139.6万,0,小央视频
58,如果把【黑人抬棺】做成中国风音乐,https://www.bilibili.com/video/BV1fC4y1s7vv,41.5万,4692,12仔
59,你们管这个叫生化危机？,https://www.bilibili.com/video/BV18C4y1W7cz,125.6万,4909,折腾5号
60,沙雕碰见了沙雕,https://www.bilibili.com/video/BV1Hz411B7Qm,127.9万,291,いじ-
61,每天10min，轻松get直角肩＋少女背! 消除猥琐斜方肌!圆肩驼背必看！,https://www.bilibili.com/video/BV1Yk4y1d7Wn,33.0万,3980,欧阳春晓Aurora
62,油管上一个亿的特朗普的鬼畜,https://www.bilibili.com/video/BV1sz411z7Rn,85.0万,1489,深度研究所
63,快速学会弹舌，包教包会发出迷人的大舌音,https://www.bilibili.com/video/BV1iK41157ip,32.6万,2708,HOLA小测佬
64,顾客：你超时了我取消订单了！外卖小哥：我超时还没到一分钟！,https://www.bilibili.com/video/BV1vT4y1375y,145.4万,2921,皮皮皮皮皮皮皮卡乒
65,据说只要加上这些....你的海鲜就会变得非常好吃，是真的吗？,https://www.bilibili.com/video/BV12K4y1b7ak,141.5万,2.9万,记录生活的蛋黄派
66,自制不养金鱼杯,https://www.bilibili.com/video/BV1mQ4y1N7Md,146.8万,9793,手工耿
67,华农兄弟：这只鸭整天“幸灾乐祸”，这样下去不行的，拿去河边烤了,https://www.bilibili.com/video/BV12Q4y1N7ih,146.1万,6.6万,华农兄弟
